epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,614.328,1.52879,1.18131,1.06366,0.38744,0.264,0.25335,0.13045,1.47559,1.00491,1.027,0.0670077,0.000333256,0.000333256
2,1200.05,1.46207,1.00377,1.04061,0.54956,0.30993,0.31398,0.16491,1.39928,0.89734,1.00045,0.0340067,0.000665572,0.000665572
3,1775.89,1.43527,0.96031,1.03045,0.56844,0.32952,0.34216,0.18235,1.36353,0.84959,0.99186,0.00100159,0.000993829,0.000993829
4,2351.47,1.41118,0.93066,1.02037,0.58985,0.34056,0.35823,0.19464,1.34381,0.81845,0.98317,0.000986323,0.000986323,0.000986323
5,2921.93,1.39219,0.90608,1.0132,0.59991,0.34877,0.3746,0.20279,1.33048,0.79982,0.97706,0.000975773,0.000975773,0.000975773
6,3502.71,1.37983,0.88803,1.00803,0.62524,0.35899,0.38543,0.20926,1.31902,0.78448,0.9726,0.00096232,0.00096232,0.00096232
7,4076.22,1.36612,0.87186,1.00241,0.61145,0.37095,0.39376,0.21523,1.31123,0.77555,0.96883,0.000946048,0.000946048,0.000946048
8,4648.79,1.35775,0.86254,0.99834,0.62505,0.37257,0.39971,0.21915,1.30588,0.76843,0.96571,0.000927057,0.000927057,0.000927057
9,5220.59,1.35164,0.85408,0.99575,0.61701,0.3801,0.40403,0.22297,1.3006,0.76129,0.96356,0.000905463,0.000905463,0.000905463
10,5791.43,1.3438,0.84426,0.99278,0.63322,0.37928,0.40939,0.22572,1.29603,0.75553,0.96182,0.000881401,0.000881401,0.000881401
11,6365.48,1.3392,0.83909,0.99048,0.62959,0.38336,0.41354,0.22866,1.29343,0.75136,0.96046,0.000855018,0.000855018,0.000855018
12,6937.42,1.33444,0.83226,0.98856,0.63045,0.38614,0.41688,0.23044,1.29121,0.74796,0.95928,0.000826477,0.000826477,0.000826477
13,7510.73,1.32711,0.82448,0.98574,0.63264,0.38598,0.41861,0.23175,1.28923,0.74553,0.95835,0.000795954,0.000795954,0.000795954
14,8081.85,1.32284,0.81819,0.98425,0.63985,0.38616,0.42053,0.23279,1.28715,0.74343,0.95749,0.000763637,0.000763637,0.000763637
15,8653.33,1.31781,0.81444,0.98232,0.63899,0.3893,0.42241,0.23371,1.28546,0.74161,0.95676,0.000729725,0.000729725,0.000729725
16,9226.96,1.31235,0.80702,0.98064,0.64297,0.38914,0.42378,0.23463,1.28416,0.73995,0.95618,0.000694428,0.000694428,0.000694428
17,9800.48,1.30934,0.80352,0.97915,0.64419,0.39083,0.42541,0.23559,1.28297,0.73847,0.95567,0.000657963,0.000657963,0.000657963
18,10374.6,1.30661,0.80005,0.97829,0.645,0.39058,0.42623,0.23601,1.28194,0.73718,0.95509,0.000620555,0.000620555,0.000620555
19,10947.4,1.30435,0.797,0.97647,0.64296,0.39341,0.42696,0.23654,1.28076,0.73578,0.95459,0.000582435,0.000582435,0.000582435
